pais,pisa,idh,pib,continente,cluster,lat,lng
Singapura,575,0.939,547.39,Ásia,2,1.3521,103.8198
Macau (China),552,0.914,25.4,Ásia,2,22.1987,113.5439
Taiwan,547,0.927,759.0,Ásia,2,23.6978,120.9605
Hong Kong (China),540,0.952,407.11,Ásia,2,22.3193,114.1694
Japão,536,0.925,4026.21,Ásia,4,36.2048,138.2529
Coreia do Sul,527,0.925,1712.79,Ásia,2,35.9078,127.7669
Estônia,510,0.892,42.91,Europa,1,58.5953,25.0136
Suíça,508,0.97,936.56,Europa,3,46.8182,8.2275
Canadá,497,0.929,2241.25,América do Norte,4,56.1304,-106.3468
Países Baixos,493,0.944,1088.27,Europa,3,52.1326,5.2913
Irlanda,492,0.955,563.08,Europa,3,53.3331,-6.2489
Bélgica,489,0.867,647.01,Europa,1,50.8503,4.3517
Dinamarca,489,0.94,433.48,Europa,3,56.2639,9.5018
Reino Unido,489,0.932,3643.83,Europa,4,55.3781,-3.436
Polônia,489,0.88,842.5,Europa,1,51.9194,19.1451
Austrália,487,0.944,1752.19,Oceania,3,-25.2744,133.7751
Áustria,487,0.927,527.11,Europa,3,47.5162,14.5501
República Tcheca,487,0.841,352.59,Europa,1,49.8175,15.473
Eslovênia,485,0.917,71.94,Europa,3,46.1512,14.9955
Finlândia,484,0.871,309.61,Europa,1,61.9241,25.7482
